src,dst,src_neo4j_id,dst_neo4j_id,rel,edge_type,evidence,props_json
81,410,1732,1705,SUPPORTS,SUPPORTS,"Unless the anterior descending supplies the inferior apical walls, reciprocal ST segment depression will usually be observed in the inferior leads.","{""evidence_text"": ""Unless the anterior descending supplies the inferior apical walls, reciprocal ST segment depression will usually be observed in the inferior leads."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
82,410,1734,1705,INDICATES,INDICATES,"However, one of the most important causes for an abnormal Q wave is myocardial infarction.","{""evidence_text"": ""However, one of the most important causes for an abnormal Q wave is myocardial infarction."", ""chunk_index"": 0, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
82,410,1734,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"Abnormal Q waves due to myocardial infarction will be observed in a coronary artery distribution (inferior, anterior, or the lateral leads).","{""evidence_text"": ""Abnormal Q waves due to myocardial infarction will be observed in a coronary artery distribution (inferior, anterior, or the lateral leads)."", ""chunk_index"": 0, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
83,408,1735,1701,SUPPORTS,SUPPORTS,"In leads that develop Q waves, an accompanying decrease in the amplitude of the R waves will sometimes be observed.","{""evidence_text"": ""In leads that develop Q waves, an accompanying decrease in the amplitude of the R waves will sometimes be observed."", ""chunk_index"": 1, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
84,408,1738,1701,INDICATES,INDICATES,The ECG now shows T wave inversion and the development of Q waves in the inferior leads.,"{""evidence_text"": ""The ECG now shows T wave inversion and the development of Q waves in the inferior leads."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 5}"
84,418,1738,1737,INDICATES,INDICATES,The ECG changes associated with non-STEMI infarctions can be subtle and include ST segment depression and T wave inversion.,"{""evidence_text"": ""The ECG changes associated with non-STEMI infarctions can be subtle and include ST segment depression and T wave inversion."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0}"
84,410,1738,1705,SUPPORTS,SUPPORTS,"ST segment depression, T wave inversion, and sometimes no ECG changes may be seen.","{""evidence_text"": ""ST segment depression, T wave inversion, and sometimes no ECG changes may be seen."", ""chunk_index"": 0, ""section_title"": ""Key Points"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4}"
84,410,1738,1705,INDICATES,INDICATES,There is some data to suggest that T wave inversion develops with reperfusion and that its presence is associated with an improved prognosis.,"{""evidence_text"": ""There is some data to suggest that T wave inversion develops with reperfusion and that its presence is associated with an improved prognosis."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 6}"
85,409,1739,1704,INDICATES,INDICATES,"First, ST segment depression associated with chest pain should always arouse suspicion of myocardial ischemia.","{""evidence_text"": ""First, ST segment depression associated with chest pain should always arouse suspicion of myocardial ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
86,419,1740,1741,INDICATES,INDICATES,"For example, isolated ST segment depression in the anterior leads V2 and V3 has been associated with occlusion of the circumflex, since the leads are looking at the damaged lateral wall through normal myocardium.","{""evidence_text"": ""For example, isolated ST segment depression in the anterior leads V2 and V3 has been associated with occlusion of the circumflex, since the leads are looking at the damaged lateral wall through normal myocardium."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
87,414,1742,1727,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"If present, horizontal ST segment depression rather than downsloping ST segment depression is more characteristic for ischemia/infarction.","{""evidence_text"": ""If present, horizontal ST segment depression rather than downsloping ST segment depression is more characteristic for ischemia/infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
88,409,1743,1704,SUPPORTS,SUPPORTS,"Second, ST segment depression associated with left ventricular hypertrophy is usually located in the lateral leads (I, aVL, V5, and V6).","{""evidence_text"": ""Second, ST segment depression associated with left ventricular hypertrophy is usually located in the lateral leads (I, aVL, V5, and V6)."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
89,371,1744,1600,INDICATES,INDICATES,"Finally, dynamic ST segment depression strongly suggests underlying ischemia with transient occlusion and reperfusion of a coronary artery.","{""evidence_text"": ""Finally, dynamic ST segment depression strongly suggests underlying ischemia with transient occlusion and reperfusion of a coronary artery."", ""chunk_index"": 1, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 2}"
